Parametr,Olimpus B,Czy jon,Czy rozcienczalne
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
Albuminy,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALP,2,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
ALT,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
AST,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Białko całkowite,10,0,1
Bilirubina bezpośrednia,5,0,1
Bilirubina bezpośrednia,5,0,1
Bilirubina bezpośrednia,5,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Bilirubina całkowita,10,0,1
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Chlorki,0,1,0
Cholesterol,7,0,1
